model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000350,30,14,,
BIOMD0000000783,8,3,0.0,0.0
BIOMD0000000543,127,111,,
BIOMD0000000637,22,12,,
BIOMD0000000582,41,40,,
BIOMD0000000597,56,28,,
BIOMD0000000150,2,4,0.01946,0.01954
BIOMD0000000381,0,5,,
BIOMD0000000974,4,6,0.0,0.0
BIOMD0000000182,32,37,,
BIOMD0000000396,16,36,,
BIOMD0000000787,4,2,0.00029,0.00016
BIOMD0000000432,10,11,0.0,0.0
BIOMD0000001039,33,20,,
BIOMD0000000938,8,5,0.0,0.0
BIOMD0000000246,41,29,,
BIOMD0000000640,48,45,,
BIOMD0000000052,11,11,,
BIOMD0000000279,0,3,,
BIOMD0000000679,8,4,0.0,0.0
BIOMD0000000533,0,11,,
BIOMD0000000718,29,16,,
BIOMD0000000863,13,6,,
BIOMD0000000444,22,18,,
BIOMD0000000929,24,5,,
BIOMD0000000323,6,3,0.0,0.0
BIOMD0000000879,11,3,,
BIOMD0000000702,48,36,,
BIOMD0000000267,3,4,0.00497,0.00508
BIOMD0000000661,17,7,,
BIOMD0000000715,11,5,,
BIOMD0000001032,7,4,0.0,0.0
BIOMD0000000102,28,13,,
BIOMD0000000076,2,3,0.05725,0.05821
BIOMD0000000473,298,713,,
BIOMD0000000667,148,103,,
BIOMD0000000075,8,13,0.0,0.0
BIOMD0000001008,0,5,,
BIOMD0000000198,7,12,0.0,0.0
BIOMD0000000991,10,9,0.0,0.0
BIOMD0000000370,0,32,,
BIOMD0000000372,0,6,,
BIOMD0000000788,22,8,,
BIOMD0000000401,0,3,,
BIOMD0000000363,4,4,0.00021,0.00027
BIOMD0000000969,32,28,,
BIOMD0000001054,11,7,,
BIOMD0000001042,12,6,,
BIOMD0000000942,15,18,,
BIOMD0000001057,5,2,4e-05,0.0001
