model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000344,80,54,,
BIOMD0000000973,6,2,2e-05,2e-05
BIOMD0000000379,0,12,,
BIOMD0000000186,9,11,0.0,0.0
BIOMD0000000743,14,4,,
BIOMD0000000226,24,24,,
BIOMD0000000144,54,18,,
BIOMD0000000550,0,2,,
BIOMD0000000035,16,10,,
BIOMD0000000633,35,50,,
BIOMD0000000547,14,12,,
BIOMD0000000988,18,20,,
BIOMD0000000181,18,6,,
BIOMD0000000469,399,786,,
BIOMD0000000910,5,3,8e-05,6e-05
BIOMD0000000468,74,79,,
BIOMD0000000697,30,16,,
BIOMD0000000046,15,16,,
BIOMD0000000537,73,44,,
BIOMD0000000137,20,21,,
BIOMD0000000296,8,7,0.0,0.0
BIOMD0000000526,19,18,,
BIOMD0000000644,0,6,,
BIOMD0000000487,6,6,0.0,0.0
BIOMD0000000082,6,10,0.0,0.0
BIOMD0000000451,53,94,,
BIOMD0000000845,7,3,0.0,0.0
BIOMD0000000058,11,4,,
BIOMD0000001031,4,3,0.00063,0.00051
BIOMD0000000891,6,3,1e-05,1e-05
BIOMD0000000729,7,3,0.0,0.0
BIOMD0000000310,6,4,0.0,0.0
BIOMD0000000843,15,10,,
BIOMD0000000937,6,3,2e-05,0.0
BIOMD0000000467,24,20,,
BIOMD0000000840,11,5,,
BIOMD0000000934,19,16,,
BIOMD0000001020,8,3,0.0,0.0
BIOMD0000000417,2,1,0.02735,0.02632
BIOMD0000000947,0,9,,
BIOMD0000000827,9,10,0.0,0.0
BIOMD0000000399,125,100,,
BIOMD0000000039,7,5,0.0,0.0
BIOMD0000000818,10,11,0.0,0.0
BIOMD0000000388,7,8,0.0,0.0
BIOMD0000000955,13,8,,
BIOMD0000000809,9,4,0.0,0.0
BIOMD0000000360,8,9,0.0,0.0
BIOMD0000000003,7,3,0.0,0.0
BIOMD0000000836,0,2,,
