model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000191,5,3,6e-05,8e-05
BIOMD0000000026,10,11,0.0,0.0
BIOMD0000000219,15,13,,
BIOMD0000000153,152,75,,
BIOMD0000000555,0,1,,
BIOMD0000000742,6,2,0.0,3e-05
BIOMD0000000193,6,8,0.0,0.0
BIOMD0000000342,29,21,,
BIOMD0000000784,9,3,0.0,0.0
BIOMD0000000425,4,1,0.00111,0.00109
BIOMD0000000433,10,11,0.0,0.0
BIOMD0000000976,5,4,0.00011,4e-05
BIOMD0000000383,4,6,0.0,0.0
BIOMD0000000858,20,10,,
BIOMD0000000737,22,12,,
BIOMD0000000508,0,16,,
BIOMD0000000124,2,2,0.00538,0.00566
BIOMD0000000522,0,16,,
BIOMD0000000053,12,6,,
BIOMD0000000669,0,7,,
BIOMD0000000484,2,2,0.03797,0.03863
BIOMD0000000042,25,15,,
BIOMD0000001002,66,23,,
BIOMD0000001000,66,23,,
BIOMD0000000901,0,3,,
BIOMD0000000519,7,3,0.0,0.0
BIOMD0000000104,2,6,0.0,0.0
BIOMD0000000528,12,13,,
BIOMD0000000529,12,13,,
BIOMD0000000663,9,3,0.0,0.0
BIOMD0000000265,52,23,,
BIOMD0000000502,11,21,,
BIOMD0000000880,11,4,,
BIOMD0000000506,59,54,,
BIOMD0000000275,9,5,0.0,0.0
BIOMD0000000897,4,2,0.00025,0.00029
BIOMD0000000277,0,3,,
BIOMD0000000262,11,11,,
BIOMD0000000167,7,9,0.0,0.0
BIOMD0000000007,25,22,,
BIOMD0000001046,219,225,,
BIOMD0000000825,4,3,0.0,0.0
BIOMD0000000951,33,34,,
BIOMD0000001045,2,3,0.05776,0.05804
BIOMD0000000439,21,20,,
BIOMD0000000954,36,25,,
BIOMD0000000376,0,11,,
BIOMD0000000837,17,8,,
BIOMD0000000770,14,4,,
BIOMD0000000413,9,5,0.0,0.0
