model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000393,36,58,,
BIOMD0000000966,6,7,0.0,0.0
BIOMD0000000345,0,13,,
BIOMD0000000804,6,3,0.0,0.0
BIOMD0000000794,32,17,,
BIOMD0000000554,0,51,,
BIOMD0000000140,45,24,,
BIOMD0000000222,11,12,,
BIOMD0000000009,20,26,,
BIOMD0000000169,27,11,,
BIOMD0000000235,778,622,,
BIOMD0000000036,5,3,0.00018,5e-05
BIOMD0000000803,8,9,0.0,0.0
BIOMD0000001005,79,41,,
BIOMD0000000905,10,5,0.0,0.0
BIOMD0000000326,91,71,,
BIOMD0000000442,12,13,,
BIOMD0000000091,23,16,,
BIOMD0000000494,71,80,,
BIOMD0000000651,16,29,,
BIOMD0000000719,9,7,0.0,0.0
BIOMD0000000254,0,4,,
BIOMD0000000678,4,4,0.0,0.0
BIOMD0000000242,12,6,,
BIOMD0000000900,6,3,0.0,0.0
BIOMD0000001001,66,23,,
BIOMD0000000312,4,3,0.0,0.0
BIOMD0000000925,0,16,,
BIOMD0000001019,8,3,1e-05,0.0
BIOMD0000000852,15,6,,
BIOMD0000000926,26,8,,
BIOMD0000000462,8,6,0.0,0.0
BIOMD0000001022,6,4,0.0,0.0
BIOMD0000000923,4,4,1e-05,2e-05
BIOMD0000001037,3,2,0.00202,0.00207
BIOMD0000001035,8,4,0.0,0.0
BIOMD0000000909,8,4,0.0,0.0
BIOMD0000000869,7,5,0.0,0.0
BIOMD0000000365,33,30,,
BIOMD0000000748,11,4,,
BIOMD0000000628,587,135,,
BIOMD0000000574,576,195,,
BIOMD0000000005,9,9,0.0,0.0
BIOMD0000000171,26,12,,
BIOMD0000000571,92,76,,
BIOMD0000000014,300,86,,
BIOMD0000000612,76,37,,
BIOMD0000000228,22,9,,
BIOMD0000000995,66,23,,
BIOMD0000000163,26,16,,
