model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000378,0,6,,
BIOMD0000000972,13,8,,
BIOMD0000000423,11,9,,
BIOMD0000000192,9,13,0.0,0.0
BIOMD0000000019,125,100,,
BIOMD0000000232,12,14,,
BIOMD0000000168,10,7,0.0,0.0
BIOMD0000000236,4,7,0.0,0.0
BIOMD0000000753,7,2,0.0,1e-05
BIOMD0000000627,64,65,,
BIOMD0000000221,11,12,,
BIOMD0000000750,25,8,,
BIOMD0000000195,20,11,,
BIOMD0000001011,5,3,1e-05,7e-05
BIOMD0000000911,6,3,0.0,1e-05
BIOMD0000001010,4,3,0.0,0.0
BIOMD0000000867,31,10,,
BIOMD0000000708,11,5,,
BIOMD0000000251,9,10,0.0,0.0
BIOMD0000000889,20,12,,
BIOMD0000000282,3,6,1e-05,0.0
BIOMD0000000240,14,6,,
BIOMD0000000122,17,14,,
BIOMD0000000518,9,4,0.0,0.0
BIOMD0000000914,9,5,0.0,0.0
BIOMD0000000479,44,28,,
BIOMD0000000474,367,133,,
BIOMD0000000919,5,2,6e-05,0.00011
BIOMD0000000307,5,5,0.0,0.0
BIOMD0000000846,7,3,0.0,0.0
BIOMD0000000932,5,4,4e-05,2e-05
BIOMD0000000476,36,16,,
BIOMD0000000857,20,10,,
BIOMD0000000089,36,16,,
BIOMD0000000329,8,3,0.0,0.0
BIOMD0000000868,5,5,0.0,0.0
BIOMD0000000908,13,7,,
BIOMD0000001034,7,4,0.0,0.0
BIOMD0000000403,0,4,,
BIOMD0000000990,65,23,,
BIOMD0000000833,83,61,,
BIOMD0000000212,18,31,,
BIOMD0000000987,10,9,0.0,0.0
BIOMD0000000159,6,3,4e-05,1e-05
BIOMD0000000559,136,90,,
BIOMD0000000766,11,5,,
BIOMD0000000821,7,3,0.0,0.0
BIOMD0000000406,51,49,,
BIOMD0000000765,9,4,0.0,0.0
BIOMD0000000605,58,29,,
