model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000422,43,37,,
BIOMD0000000967,9,4,0.0,0.0
BIOMD0000000392,27,53,,
BIOMD0000000838,6,3,1e-05,0.0
BIOMD0000000031,4,6,0.0,0.0
BIOMD0000000540,11,22,,
BIOMD0000000622,17,11,,
BIOMD0000000578,96,76,,
BIOMD0000000021,24,10,,
BIOMD0000000800,6,3,0.0,0.0
BIOMD0000000209,12,20,,
BIOMD0000000963,2,3,0.05685,0.05806
BIOMD0000000368,0,8,,
BIOMD0000000441,10,11,0.0,0.0
BIOMD0000000904,7,4,0.0,0.0
BIOMD0000001004,18,10,,
BIOMD0000000668,10,14,0.0,0.0
BIOMD0000000720,25,9,,
BIOMD0000000523,13,18,,
BIOMD0000000123,17,14,,
BIOMD0000000241,0,5,,
BIOMD0000000297,51,19,,
BIOMD0000000888,8,4,0.0,0.0
BIOMD0000000493,6,3,1e-05,0.0
BIOMD0000000928,13,4,,
BIOMD0000001029,35,21,,
BIOMD0000000851,4,5,3e-05,3e-05
BIOMD0000000070,38,45,,
BIOMD0000000449,34,27,,
BIOMD0000000885,8,4,0.0,0.0
BIOMD0000000067,13,8,,
BIOMD0000001026,2,1,0.02649,0.02783
BIOMD0000000670,0,3,,
BIOMD0000000704,33,17,,
BIOMD0000000301,15,8,,
BIOMD0000000698,9,7,0.0,0.0
BIOMD0000000920,0,4,,
BIOMD0000000458,3,7,0.0,0.0
BIOMD0000000371,0,3,,
BIOMD0000000953,29,27,,
BIOMD0000000199,10,15,0.0,0.0
BIOMD0000000428,23,31,,
BIOMD0000000978,3,4,0.00525,0.00513
BIOMD0000000824,3,2,0.0,0.0
BIOMD0000000411,13,10,,
BIOMD0000000941,12,8,,
BIOMD0000001040,2,1,0.02626,0.02773
BIOMD0000000374,0,5,,
BIOMD0000000017,14,19,,
BIOMD0000000188,20,20,,
