model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000387,4,7,0.0,0.0
BIOMD0000000796,13,5,,
BIOMD0000000351,12,6,,
BIOMD0000000810,53,14,,
BIOMD0000000958,12,8,,
BIOMD0000000391,21,22,,
BIOMD0000000626,6,6,0.0,0.0
BIOMD0000000544,119,108,,
BIOMD0000000586,23,10,,
BIOMD0000000619,13,10,,
BIOMD0000000553,4,3,0.0,0.0
BIOMD0000000022,32,13,,
BIOMD0000000817,13,8,,
BIOMD0000000482,29,23,,
BIOMD0000000093,46,34,,
BIOMD0000001038,6,3,0.0,0.0
BIOMD0000000330,0,5,,
BIOMD0000000085,17,17,,
BIOMD0000000480,88,41,,
BIOMD0000000862,11,9,,
BIOMD0000000731,25,18,,
BIOMD0000000532,0,4,,
BIOMD0000000108,17,9,,
BIOMD0000000524,13,18,,
BIOMD0000000055,32,13,,
BIOMD0000001015,9,6,0.0,0.0
BIOMD0000001018,25,22,,
BIOMD0000000931,6,3,0.0,1e-05
BIOMD0000000461,3,4,0.0027,0.00315
BIOMD0000000463,50,39,,
BIOMD0000000098,6,2,0.00011,0.00018
BIOMD0000000304,0,5,,
BIOMD0000001036,6,3,0.0,1e-05
BIOMD0000000922,3,3,0.00028,0.00027
BIOMD0000001023,6,3,0.0,0.0
BIOMD0000000459,3,4,0.00282,0.00278
BIOMD0000000935,4,2,0.00035,0.00022
BIOMD0000000699,48,36,,
BIOMD0000001053,10,6,0.0,0.0
BIOMD0000000984,3,5,0.0,0.0
BIOMD0000000166,9,3,0.0,0.0
BIOMD0000000560,117,65,,
BIOMD0000000763,9,3,0.0,0.0
BIOMD0000000617,4,1,0.00104,0.00106
BIOMD0000000217,16,22,,
BIOMD0000000772,7,4,0.0,0.0
BIOMD0000000174,10,4,0.0,0.0
BIOMD0000000566,2,2,0.0,0.0
BIOMD0000000981,15,12,,
BIOMD0000000177,21,28,,
