model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000185,20,8,,
BIOMD0000000032,47,37,,
BIOMD0000000557,22,25,,
BIOMD0000000623,31,31,,
BIOMD0000000541,30,37,,
BIOMD0000000756,11,4,,
BIOMD0000000839,20,8,,
BIOMD0000001048,6,3,0.0,0.0
BIOMD0000000790,14,4,,
BIOMD0000000343,0,26,,
BIOMD0000000355,17,9,,
BIOMD0000000786,32,16,,
BIOMD0000000397,29,50,,
BIOMD0000000870,9,7,0.0,0.0
BIOMD0000000051,48,18,,
BIOMD0000000252,0,4,,
BIOMD0000000656,62,54,,
BIOMD0000000278,0,3,,
BIOMD0000000735,47,23,,
BIOMD0000000655,63,54,,
BIOMD0000000490,66,33,,
BIOMD0000000724,28,39,,
BIOMD0000000693,0,27,,
BIOMD0000001028,35,21,,
BIOMD0000000915,8,10,0.0,0.0
BIOMD0000000486,2,2,0.03814,0.03794
BIOMD0000000892,8,4,0.0,0.0
something,1,2,0.50885,0.50755
BIOMD0000000273,38,19,,
BIOMD0000000105,94,39,,
BIOMD0000000503,34,76,,
BIOMD0000000516,40,50,,
BIOMD0000000658,17,16,,
BIOMD0000000260,29,17,,
BIOMD0000000513,21,31,,
BIOMD0000000883,85,75,,
BIOMD0000000288,13,19,,
BIOMD0000000504,132,75,,
BIOMD0000000601,3,5,0.0,0.0
BIOMD0000000013,21,27,,
BIOMD0000001052,14,3,,
BIOMD0000000366,8,12,0.0,0.0
BIOMD0000000789,5,4,0.0,0.0
BIOMD0000000415,5,10,0.0,0.0
BIOMD0000001041,4,4,0.0,0.0
BIOMD0000000940,60,20,,
BIOMD0000000410,91,53,,
BIOMD0000000823,18,16,,
BIOMD0000000016,10,7,0.0,0.0
BIOMD0000000375,0,5,,
