model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000556,8,6,0.0,0.0
BIOMD0000000033,26,32,,
BIOMD0000000812,9,6,0.0,0.0
BIOMD0000000421,4,2,0.00033,0.0003
BIOMD0000000964,14,6,,
BIOMD0000000434,35,34,,
BIOMD0000000815,6,2,0.0,0.0
BIOMD0000000752,5,3,1e-05,1e-05
BIOMD0000000551,0,2,,
BIOMD0000000625,38,19,,
BIOMD0000000779,25,6,,
BIOMD0000000591,9,8,0.0,0.0
BIOMD0000000630,14,6,,
BIOMD0000000253,4,6,0.0,0.0
BIOMD0000000078,48,16,,
BIOMD0000000332,69,78,,
BIOMD0000000318,17,7,,
BIOMD0000000906,6,3,0.0,0.0
BIOMD0000001007,6,4,0.0,0.0
BIOMD0000001003,66,23,,
BIOMD0000000725,31,51,,
BIOMD0000000485,4,2,0.00172,0.0016
BIOMD0000000646,24,18,,
BIOMD0000000281,22,32,,
BIOMD0000000041,9,10,0.0,0.0
BIOMD0000000121,5,6,0.0,0.0
BIOMD0000000448,34,27,,
BIOMD0000000918,7,8,0.0,0.0
BIOMD0000000844,10,9,0.0,0.0
BIOMD0000000477,49,43,,
BIOMD0000000728,5,2,8e-05,8e-05
BIOMD0000000648,64,54,,
BIOMD0000000466,28,34,,
BIOMD0000000063,8,9,0.0,0.0
BIOMD0000000117,6,2,0.00012,0.00011
BIOMD0000000471,282,657,,
BIOMD0000000712,6,4,0.0,0.0
BIOMD0000000666,48,48,,
BIOMD0000000205,205,194,,
BIOMD0000000760,4,2,0.00026,0.00014
BIOMD0000000172,19,25,,
BIOMD0000000776,4,2,0.00108,0.00104
BIOMD0000000549,0,2,,
BIOMD0000000149,33,28,,
BIOMD0000000029,7,6,0.0,0.0
BIOMD0000000996,66,23,,
BIOMD0000000148,6,7,0.0,0.0
BIOMD0000000572,21,26,,
BIOMD0000000215,14,7,,
