model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000230,64,26,,
BIOMD0000000755,7,9,0.0,0.0
BIOMD0000000184,7,3,1e-05,1e-05
BIOMD0000000435,8,4,0.0,0.0
BIOMD0000000965,8,5,0.0,0.0
BIOMD0000000352,12,6,,
BIOMD0000000183,352,67,,
BIOMD0000000746,11,4,,
BIOMD0000000237,31,26,,
BIOMD0000000143,20,20,,
BIOMD0000000023,11,13,,
BIOMD0000000585,0,28,,
BIOMD0000000618,0,52,,
BIOMD0000000535,71,42,,
BIOMD0000000736,22,12,,
BIOMD0000000865,8,4,0.0,0.0
BIOMD0000001012,7,4,0.0,0.0
BIOMD0000000912,6,3,0.0,0.0
BIOMD0000000331,0,7,,
BIOMD0000001017,15,13,,
BIOMD0000000916,4,5,0.0003,0.00035
BIOMD0000000452,117,109,,
BIOMD0000000875,8,4,0.0,0.0
BIOMD0000000295,8,5,0.0,0.0
BIOMD0000000069,7,10,0.0,0.0
BIOMD0000000647,11,11,,
BIOMD0000001030,6,3,0.0,0.0
BIOMD0000000059,18,6,,
BIOMD0000000850,4,3,0.00057,0.00048
BIOMD0000001027,33,20,,
BIOMD0000000700,49,30,,
BIOMD0000000890,6,3,0.0,0.0
BIOMD0000000472,282,657,,
BIOMD0000000705,61,43,,
BIOMD0000000671,0,7,,
BIOMD0000000465,12,16,,
BIOMD0000000706,127,57,,
BIOMD0000000114,4,2,0.00122,0.00121
BIOMD0000000563,15,10,,
BIOMD0000000006,3,4,0.0,0.0
BIOMD0000000602,42,56,,
BIOMD0000000010,10,8,0.0,0.0
BIOMD0000000561,0,1,,
BIOMD0000000161,43,46,,
BIOMD0000000997,65,23,,
BIOMD0000000202,15,9,,
BIOMD0000000638,48,21,,
BIOMD0000000599,37,30,,
BIOMD0000000573,7,2,0.0,0.0
