model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000634,112,69,,
BIOMD0000000218,14,13,,
BIOMD0000000999,66,23,,
BIOMD0000000190,13,11,,
BIOMD0000000353,9,28,,
BIOMD0000000971,13,8,,
BIOMD0000000346,0,2,,
BIOMD0000000829,28,13,,
BIOMD0000000975,48,19,,
BIOMD0000000579,175,240,,
BIOMD0000000816,16,8,,
BIOMD0000000745,10,5,0.0,0.0
BIOMD0000000234,0,1,,
BIOMD0000000657,3,3,0.00017,0.00033
BIOMD0000000509,0,16,,
BIOMD0000000050,16,14,,
BIOMD0000000871,13,8,,
BIOMD0000000481,28,42,,
BIOMD0000000084,8,8,0.0,0.0
BIOMD0000000457,141,166,,
BIOMD0000000309,4,4,0.0,0.0
BIOMD0000000902,7,4,0.0,0.0
BIOMD0000000334,66,74,,
BIOMD0000000861,36,26,,
BIOMD0000000068,3,9,,
BIOMD0000000294,26,11,,
BIOMD0000000653,62,54,,
BIOMD0000001024,4,2,0.00024,0.00025
BIOMD0000000717,10,4,0.0,0.0
BIOMD0000000688,30,16,,
BIOMD0000000339,115,54,,
BIOMD0000000066,7,11,0.0,0.0
BIOMD0000000884,6,3,0.0,0.0
BIOMD0000000314,12,12,,
BIOMD0000000711,26,11,,
BIOMD0000000665,13,8,,
BIOMD0000000303,45,42,,
BIOMD0000000060,3,4,0.00075,0.00079
BIOMD0000000882,8,4,0.0,0.0
BIOMD0000000577,64,32,,
BIOMD0000000589,0,13,,
BIOMD0000000164,29,26,,
BIOMD0000000004,7,5,0.0,0.0
BIOMD0000000207,6,6,0.0,0.0
BIOMD0000000607,58,29,,
BIOMD0000000983,10,7,0.0,0.0
BIOMD0000000564,38,19,,
BIOMD0000000176,19,25,,
BIOMD0000000758,4,2,0.00039,0.0004
BIOMD0000000567,2,2,0.0,0.0
