model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000146,34,36,,
BIOMD0000000595,1490,218,,
BIOMD0000000027,4,5,0.0,0.0
BIOMD0000000147,51,24,,
BIOMD0000000384,4,6,0.0,0.0
BIOMD0000000959,75,41,,
BIOMD0000000420,4,2,0.0003,0.00026
BIOMD0000000418,2,1,0.02749,0.02808
BIOMD0000000949,17,7,,
BIOMD0000000380,8,16,,
BIOMD0000000194,3,5,2e-05,0.0
BIOMD0000000989,65,23,,
BIOMD0000000546,5,3,9e-05,7e-05
BIOMD0000000125,7,5,0.0,0.0
BIOMD0000000290,12,5,,
BIOMD0000000722,15,5,,
BIOMD0000000681,0,4,,
BIOMD0000000536,66,39,,
BIOMD0000000709,11,5,,
BIOMD0000000325,10,6,0.0,0.0
BIOMD0000000447,32,13,,
BIOMD0000000081,15,23,,
BIOMD0000000446,62,27,,
BIOMD0000000849,23,23,,
BIOMD0000000040,5,5,0.0,0.0
BIOMD0000000257,11,11,,
BIOMD0000000110,22,15,,
BIOMD0000000266,0,8,,
BIOMD0000000065,16,9,,
BIOMD0000000887,10,4,0.0,0.0
BIOMD0000000488,112,69,,
BIOMD0000000714,10,4,0.0,0.0
BIOMD0000000112,8,10,0.0,0.0
BIOMD0000000248,5,9,0.0,0.0
BIOMD0000000739,23,24,,
BIOMD0000000895,29,9,,
BIOMD0000000263,11,11,,
BIOMD0000000289,12,5,,
BIOMD0000000128,3,3,0.00028,0.00022
BIOMD0000000239,45,59,,
BIOMD0000000210,12,18,,
BIOMD0000000616,10,4,0.0,0.0
BIOMD0000000038,10,17,,
BIOMD0000000575,58,76,,
BIOMD0000000175,102,120,,
BIOMD0000000773,6,3,0.0,0.0
BIOMD0000000216,17,6,,
BIOMD0000000604,54,29,,
BIOMD0000000994,66,23,,
BIOMD0000000229,14,7,,
