model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000436,22,13,,
BIOMD0000000797,12,4,,
BIOMD0000000386,4,6,0.0,0.0
BIOMD0000000179,17,7,,
BIOMD0000000757,18,10,,
BIOMD0000000568,69,39,,
BIOMD0000000636,113,78,,
BIOMD0000000395,12,23,,
BIOMD0000000747,28,33,,
BIOMD0000000814,5,3,7e-05,0.00011
BIOMD0000000382,0,6,,
BIOMD0000000977,15,6,,
BIOMD0000000354,11,6,,
BIOMD0000000327,11,8,,
BIOMD0000000092,3,4,0.0,0.0
BIOMD0000000483,8,8,0.0,0.0
BIOMD0000000654,63,54,,
BIOMD0000000734,47,23,,
BIOMD0000000245,20,11,,
BIOMD0000000645,0,6,,
BIOMD0000000527,0,1,,
BIOMD0000000283,2,4,0.00738,0.00716
BIOMD0000000650,0,3,,
BIOMD0000000322,9,4,0.0,0.0
BIOMD0000000096,46,19,,
BIOMD0000000337,5,3,0.0,0.0
BIOMD0000000689,10,17,,
BIOMD0000000716,10,4,0.0,0.0
BIOMD0000001025,2,4,0.0,0.0
BIOMD0000000113,7,4,0.0,0.0
BIOMD0000000701,48,36,,
BIOMD0000000338,115,54,,
BIOMD0000000116,10,6,0.0,0.0
BIOMD0000000062,5,4,0.0,0.0
BIOMD0000000315,27,20,,
BIOMD0000000854,7,4,0.0,0.0
BIOMD0000000713,9,3,0.0,0.0
BIOMD0000000470,399,786,,
BIOMD0000000826,25,13,,
BIOMD0000000946,0,7,,
BIOMD0000000416,20,32,,
BIOMD0000001044,39,30,,
BIOMD0000000950,0,7,,
BIOMD0000000830,7,7,0.0,0.0
BIOMD0000000377,0,4,,
BIOMD0000000799,4,2,0.00026,0.00022
BIOMD0000000438,7,10,0.0,0.0
BIOMD0000000412,56,79,,
BIOMD0000000771,6,3,1e-05,0.0
BIOMD0000000822,13,8,,
