model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000813,8,3,0.0,0.0
BIOMD0000000754,10,3,0.0,0.0
BIOMD0000000231,4,6,0.0,0.0
BIOMD0000000145,11,7,,
BIOMD0000000227,57,60,,
BIOMD0000000030,20,18,,
BIOMD0000000187,9,11,0.0,0.0
BIOMD0000000356,64,32,,
BIOMD0000000948,6,6,0.0,0.0
BIOMD0000000419,6,3,0.0,1e-05
BIOMD0000000341,0,3,,
BIOMD0000000792,14,6,,
BIOMD0000000340,116,54,,
BIOMD0000000455,5,9,0.0,0.0
BIOMD0000000079,6,3,2e-05,0.0
BIOMD0000000534,71,41,,
BIOMD0000000126,11,9,,
BIOMD0000000293,316,136,,
BIOMD0000000286,93,59,,
BIOMD0000000641,0,12,,
BIOMD0000000269,22,18,,
BIOMD0000000730,108,45,,
BIOMD0000000687,25,15,,
BIOMD0000000336,20,18,,
BIOMD0000000083,57,19,,
BIOMD0000000492,88,52,,
BIOMD0000000886,10,5,0.0,0.0
BIOMD0000000299,0,3,,
BIOMD0000000515,40,51,,
BIOMD0000000111,19,10,,
BIOMD0000000259,29,17,,
BIOMD0000000270,42,33,,
BIOMD0000000894,6,3,1e-05,0.0
BIOMD0000000738,22,12,,
BIOMD0000000249,20,9,,
BIOMD0000000115,5,2,0.00085,0.00092
BIOMD0000000049,150,99,,
BIOMD0000000538,0,3,,
BIOMD0000000629,2,5,0.02155,0.02164
BIOMD0000000985,9,7,0.0,0.0
BIOMD0000000402,0,4,,
BIOMD0000000400,0,13,,
BIOMD0000000945,0,5,,
BIOMD0000000373,0,7,,
BIOMD0000001055,30,19,,
BIOMD0000000798,9,5,0.0,0.0
BIOMD0000000404,35,29,,
BIOMD0000001056,5,3,0.00014,5e-05
BIOMD0000000943,83,52,,
BIOMD0000001043,7,4,0.0,0.0
