model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000813,8,3,0.0,0.0
BIOMD0000000032,47,37,,
BIOMD0000000219,15,13,,
BIOMD0000000635,113,80,,
BIOMD0000000390,6,11,0.0,0.0
BIOMD0000000959,75,41,,
BIOMD0000001058,20,10,,
BIOMD0000000829,28,13,,
BIOMD0000000746,11,4,,
BIOMD0000000551,0,2,,
BIOMD0000000631,33,12,,
BIOMD0000000584,14,35,,
BIOMD0000000022,32,13,,
BIOMD0000000803,8,9,0.0,0.0
BIOMD0000001011,5,3,2e-05,6e-05
BIOMD0000000910,5,3,2e-05,4e-05
BIOMD0000001004,18,10,,
BIOMD0000000654,63,54,,
BIOMD0000000052,11,11,,
BIOMD0000000292,4,6,0.0,0.0
BIOMD0000000641,0,12,,
BIOMD0000000490,66,33,,
BIOMD0000000042,25,15,,
BIOMD0000001016,9,8,0.0,0.0
BIOMD0000001014,7,5,0.0,0.0
BIOMD0000000040,5,5,0.0,0.0
BIOMD0000000531,0,1,,
BIOMD0000000653,62,54,,
BIOMD0000001030,6,3,0.0,0.0
BIOMD0000000918,7,8,0.0,0.0
BIOMD0000000313,16,16,,
BIOMD0000000305,4,9,,
BIOMD0000000098,6,2,0.0002,0.00011
BIOMD0000000462,8,6,0.0,0.0
BIOMD0000000857,20,10,,
BIOMD0000000937,6,3,0.0,0.0
BIOMD0000000301,15,8,,
BIOMD0000000854,7,4,0.0,0.0
BIOMD0000000075,8,13,0.0,0.0
BIOMD0000000464,10,14,0.0,0.0
BIOMD0000000629,2,5,0.02078,0.02095
BIOMD0000000013,21,27,,
BIOMD0000001046,219,225,,
BIOMD0000000819,30,11,,
BIOMD0000000986,8,8,0.0,0.0
BIOMD0000000575,58,76,,
BIOMD0000000613,58,31,,
BIOMD0000000983,10,7,0.0,0.0
BIOMD0000000202,15,9,,
BIOMD0000000148,6,7,0.0,0.0
BIOMD0000000214,24,16,,
BIOMD0000000759,19,6,,
BIOMD0000000177,21,28,,
