model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000344,80,54,,
BIOMD0000000967,9,4,0.0,0.0
BIOMD0000000386,4,6,0.0,0.0
BIOMD0000000637,22,12,,
BIOMD0000000569,62,21,,
BIOMD0000000030,20,18,,
BIOMD0000000839,20,8,,
BIOMD0000000342,29,21,,
BIOMD0000000785,5,2,0.00014,0.00011
BIOMD0000000357,8,9,0.0,0.0
BIOMD0000000194,3,5,1e-05,0.0
BIOMD0000000751,3,2,0.00222,0.00203
BIOMD0000000234,0,1,,
BIOMD0000000618,0,52,,
BIOMD0000000253,4,6,0.0,0.0
BIOMD0000000939,126,60,,
BIOMD0000000440,10,11,0.0,0.0
BIOMD0000000330,0,5,,
BIOMD0000000091,23,16,,
BIOMD0000000251,9,10,0.0,0.0
BIOMD0000000137,20,21,,
BIOMD0000000241,0,5,,
BIOMD0000000283,2,4,0.00745,0.00722
BIOMD0000000863,13,6,,
BIOMD0000000450,74,53,,
BIOMD0000000083,57,19,,
BIOMD0000000486,2,2,0.03751,0.03828
BIOMD0000000104,2,6,0.0,0.0
BIOMD0000000514,35,46,,
BIOMD0000000703,22,11,,
BIOMD0000000887,10,4,0.0,0.0
BIOMD0000001033,13,6,,
BIOMD0000000066,7,11,0.0,0.0
BIOMD0000000890,6,3,0.0,0.0
BIOMD0000000466,28,34,,
BIOMD0000000088,110,105,,
BIOMD0000000856,26,26,,
BIOMD0000000459,3,4,0.00275,0.00277
BIOMD0000000909,8,4,0.0,0.0
BIOMD0000001034,7,4,0.0,0.0
BIOMD0000000417,2,1,0.02587,0.0271
BIOMD0000000953,29,27,,
BIOMD0000000416,20,32,,
BIOMD0000000372,0,6,,
BIOMD0000000944,6,3,0.0,1e-05
BIOMD0000000373,0,7,,
BIOMD0000001041,4,4,0.0,0.0
BIOMD0000000954,36,25,,
BIOMD0000000389,18,22,,
BIOMD0000000162,45,32,,
BIOMD0000000994,66,23,,
BIOMD0000000201,33,26,,
