model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000634,112,69,,
BIOMD0000000230,64,26,,
BIOMD0000000033,26,32,,
BIOMD0000000806,25,6,,
BIOMD0000001059,21,10,,
BIOMD0000000958,12,8,,
BIOMD0000000554,0,51,,
BIOMD0000000168,10,7,0.0,0.0
BIOMD0000000550,0,2,,
BIOMD0000000021,24,10,,
BIOMD0000000814,5,3,0.00011,0.00012
BIOMD0000000396,16,36,,
BIOMD0000000793,5,2,8e-05,7e-05
BIOMD0000000340,116,54,,
BIOMD0000000870,9,7,0.0,0.0
BIOMD0000000737,22,12,,
BIOMD0000000285,72,27,,
BIOMD0000000695,35,12,,
BIOMD0000000536,66,39,,
BIOMD0000000090,21,26,,
BIOMD0000000457,141,166,,
BIOMD0000001017,15,13,,
BIOMD0000000725,31,51,,
BIOMD0000000491,86,57,,
BIOMD0000000652,63,54,,
BIOMD0000000524,13,18,,
BIOMD0000000900,6,3,0.0,0.0
BIOMD0000000479,44,28,,
BIOMD0000000845,7,3,0.0,0.0
BIOMD0000000070,38,45,,
BIOMD0000001025,2,4,0.0,0.0
BIOMD0000000661,17,7,,
BIOMD0000000073,48,16,,
BIOMD0000000270,42,33,,
BIOMD0000000658,17,16,,
BIOMD0000000506,59,54,,
BIOMD0000000261,29,17,,
BIOMD0000000659,0,7,,
BIOMD0000000263,11,11,,
BIOMD0000000048,25,23,,
BIOMD0000000882,8,4,0.0,0.0
BIOMD0000000563,15,10,,
BIOMD0000000760,4,2,0.00021,0.00018
BIOMD0000000614,4,1,0.00112,0.00116
BIOMD0000000206,11,9,,
BIOMD0000000763,9,3,0.0,0.0
BIOMD0000000171,26,12,,
BIOMD0000000559,136,90,,
BIOMD0000000955,13,8,,
BIOMD0000001040,2,1,0.02754,0.02608
BIOMD0000000412,56,79,,
BIOMD0000000942,15,18,,
BIOMD0000000349,0,7,,
