model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000620,20,35,,
BIOMD0000000595,1490,218,,
BIOMD0000000741,10,4,0.0,0.0
BIOMD0000000190,13,11,,
BIOMD0000000435,8,4,0.0,0.0
BIOMD0000000964,14,6,,
BIOMD0000000408,9,10,0.0,0.0
BIOMD0000000632,14,9,,
BIOMD0000000544,119,108,,
BIOMD0000000009,20,26,,
BIOMD0000000627,64,65,,
BIOMD0000000547,14,12,,
BIOMD0000000963,2,3,0.05697,0.05838
BIOMD0000000354,11,6,,
BIOMD0000001039,33,20,,
BIOMD0000000086,24,17,,
BIOMD0000000534,71,41,,
BIOMD0000000656,62,54,,
BIOMD0000000522,0,16,,
BIOMD0000000047,3,2,0.01334,0.0137
BIOMD0000000872,18,7,,
BIOMD0000000447,32,13,,
BIOMD0000000080,6,10,0.0,0.0
BIOMD0000000334,66,74,,
BIOMD0000000875,8,4,0.0,0.0
BIOMD0000000281,22,32,,
BIOMD0000000727,57,30,,
BIOMD0000000848,21,9,,
BIOMD0000001018,25,22,,
BIOMD0000000925,0,16,,
BIOMD0000000307,5,5,0.0,0.0
BIOMD0000000891,6,3,0.0,0.0
BIOMD0000000067,13,8,,
BIOMD0000000338,115,54,,
BIOMD0000000102,28,13,,
BIOMD0000000710,16,7,,
BIOMD0000000249,20,9,,
BIOMD0000000883,85,75,,
BIOMD0000000277,0,3,,
BIOMD0000000276,0,3,,
BIOMD0000000615,17,4,,
BIOMD0000000239,45,59,,
BIOMD0000000576,52,42,,
BIOMD0000000164,29,26,,
BIOMD0000000010,10,8,0.0,0.0
BIOMD0000000549,0,2,,
BIOMD0000000165,30,37,,
BIOMD0000000203,10,12,0.0,0.0
BIOMD0000000772,7,4,0.0,0.0
BIOMD0000000612,76,37,,
BIOMD0000000406,51,49,,
BIOMD0000000003,7,3,0.0,0.0
BIOMD0000000188,20,20,,
