model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000378,0,6,,
BIOMD0000000973,6,2,1e-05,4e-05
BIOMD0000000392,27,53,,
BIOMD0000000179,17,7,,
BIOMD0000000582,41,40,,
BIOMD0000000583,30,23,,
BIOMD0000000187,9,11,0.0,0.0
BIOMD0000001048,6,3,1e-05,0.0
BIOMD0000000784,9,3,0.0,0.0
BIOMD0000000431,28,27,,
BIOMD0000000180,20,8,,
BIOMD0000000989,65,23,,
BIOMD0000000552,4,3,0.0,0.0
BIOMD0000000657,3,3,0.00033,0.00034
BIOMD0000000535,71,42,,
BIOMD0000000078,48,16,,
BIOMD0000000454,4,8,0.0,0.0
BIOMD0000000456,6,11,0.0,0.0
BIOMD0000000085,17,17,,
BIOMD0000000494,71,80,,
BIOMD0000000889,20,12,,
BIOMD0000000296,8,7,0.0,0.0
BIOMD0000000297,51,19,,
BIOMD0000000650,0,3,,
BIOMD0000000444,22,18,,
BIOMD0000000097,46,19,,
BIOMD0000000492,88,52,,
BIOMD0000000892,8,4,0.0,0.0
BIOMD0000000528,12,13,,
BIOMD0000000298,0,10,,
BIOMD0000000139,45,24,,
BIOMD0000000488,112,69,,
BIOMD0000000072,7,7,0.0,0.0
BIOMD0000000884,6,3,0.0,0.0
BIOMD0000000472,282,657,,
BIOMD0000000063,8,9,0.0,0.0
BIOMD0000000842,26,18,,
BIOMD0000001021,9,7,0.0,0.0
BIOMD0000000935,4,2,0.00029,0.00035
BIOMD0000000869,7,5,0.0,0.0
BIOMD0000000403,0,4,,
BIOMD0000000947,0,9,,
BIOMD0000000199,10,15,0.0,0.0
BIOMD0000001044,39,30,,
BIOMD0000000788,22,8,,
BIOMD0000000367,0,3,,
BIOMD0000001055,30,19,,
BIOMD0000000940,60,20,,
BIOMD0000000376,0,11,,
BIOMD0000000189,14,18,,
BIOMD0000000002,17,13,,
BIOMD0000000229,14,7,,
